143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
143.00,0.70,"19.82
"
141.00,0.69,"18.85
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
141.00,0.69,"18.85
"
143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
141.00,0.69,"18.85
"
143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
141.00,0.69,"18.85
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
141.00,0.69,"18.85
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
141.00,0.69,"18.85
"
141.00,0.69,"18.85
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
143.00,0.70,"19.82
"
142.00,0.69,"19.34
"
142.00,0.69,"19.34
"
